trade_name,substance,atc,group,registration_number,manufacturer,form,dosage_adult,dosage_children,storage_conditions,shelf_life,dispensing_rule,indications,contraindications,side_effects,analogs,interacts_with,risk_level,interaction_note,synonyms
Аспирин,Ацетилсалициловая кислота,N02BA01,НПВС,N665861,Bayer,таблетки,75–500 мг 1–3 раза в сутки после еды; кардиопрофилактика — 75–100 мг 1 раз в сутки,детям до 15 лет не применять (риск синдрома Рея),Не выше 25 C,3 года,prescription,боль;жар;тромбоз,язвенная болезнь желудка и двенадцатиперстной кишки; желудочно-кишечные кровотечения; геморрагические диатезы; бронхиальная астма (аспириновая); детский возраст до 15 лет (синдром Рея),диспепсия; тошнота; рвота; желудочно-кишечное кровотечение; бронхоспазм; крапивница; шум в ушах при длительном приёме высоких доз,Аспикор; Тромбо АСС; Кардиомагнил,Варфарин,HIGH,Повышается риск кровотечения — совместный приём требует мониторинга МНО,ацетилсалициловая кислота; аспикор; тромбо асс; кардиомагнил
Метформин,Метформина гидрохлорид,A10BA02,Гипогликемические,N452277,Тева,таблетки,"500–1000 мг 2–3 раза в сутки с едой, суточная доза до 3000 мг",с 10 лет: 500–850 мг/сутки по схеме врача,Не выше 25 C,3 года,prescription,диабет 2 типа;гипергликемия,почечная недостаточность (СКФ < 45 мл/мин); печёночная недостаточность; сердечная недостаточность; алкоголизм; беременность; лактоацидоз в анамнезе,диарея; тошнота; рвота; металлический привкус во рту; дефицит витамина B12 при длительном приёме; лактоацидоз (редко),Сиофор; Глюкофаж; Форметин,Алкоголь,HIGH,Повышается риск лактоацидоза,сиофор; глюкофаж; форметин; багомет
Амоксициллин,Амоксициллин,J01CA04,Антибиотики,N319739,Sandoz,капсулы,500 мг 3 раза в сутки или 875 мг 2 раза в сутки 5–7 дней,20–40 мг/кг/сутки в 3 приёма (макс. 3 г/сутки),Не выше 25 C,3 года,prescription,инфекции;ангина;синусит,гиперчувствительность к пенициллинам и цефалоспоринам; инфекционный мононуклеоз; лимфолейкоз,диарея; тошнота; сыпь; крапивница; анафилаксия (редко); псевдомембранозный колит,Флемоксин Солютаб; Амоксил; Оспамокс,Варфарин,MEDIUM,Возможно усиление антикоагулянтного эффекта,флемоксин; амоксил; оспамокс
Омепразол,Омепразол,A02BC01,ИПП,N150299,AstraZeneca,капсулы,20–40 мг 1 раз в сутки утром натощак,с 2 лет: 10–20 мг 1 раз в сутки,Не выше 25 C,3 года,prescription,ГЭРБ;язва,гиперчувствительность к бензимидазолам; тяжёлая печёночная недостаточность; одновременный приём с атазанавиром или нелфинавиром,головная боль; диарея; тошнота; запор; метеоризм; дефицит магния при длительном приёме; гипергастринемия,Лосек; Ультоп; Гастрозол; Нексиум (эзомепразол),Клопидогрел,MEDIUM,Снижение антиагрегантного эффекта клопидогрела,лосек; ультоп; гастрозол; промез
Лизиноприл,Лизиноприл,C09AA03,Ингибиторы АПФ,N882463,KRKA,таблетки,5–40 мг 1 раз в сутки в одно и то же время,"с 6 лет: 0,07 мг/кг 1 раз в сутки (макс. 40 мг)",Не выше 25 C,3 года,prescription,гипертензия;ХСН,ангионевротический отёк в анамнезе; беременность; двусторонний стеноз почечных артерий; гиперкалиемия; тяжёлая почечная недостаточность,сухой кашель; гипотония первой дозы; головокружение; гиперкалиемия; нарушение функции почек; ангионевротический отёк,Диротон; Принивил; Лоприл,НПВС,MEDIUM,Снижение антигипертензивного эффекта и риск нефротоксичности,диротон; принивил; лоприл; лизак
Аторвастатин,Аторвастатин,C10AA05,Статины,N457563,Pfizer,таблетки,10–80 мг 1 раз в сутки вечером,с 10 лет: 10–20 мг 1 раз в сутки,Не выше 25 C,3 года,prescription,гиперхолестеринемия,активные заболевания печени; повышение АСТ/АЛТ более чем в 3 раза; беременность; лактация; миопатия,миалгия; рабдомиолиз (редко); повышение трансаминаз; головная боль; диспепсия; гипергликемия,Липримар; Торвакард; Розувастатин,Эритромицин,HIGH,Повышение концентрации аторвастатина и риска миопатии,липримар; торвакард; аторис; липтонорм
Варфарин,Варфарин,B01AA03,Антикоагулянты,N762818,Никомед,таблетки,"индивидуально под контролем МНО (обычно 2,5–5 мг/сутки)",применение у детей по решению врача,Не выше 25 C,3 года,prescription,тромбоз;фибрилляция,геморрагический инсульт; активное кровотечение; беременность 1 триместр; тяжёлая печёночная недостаточность; неконтролируемая артериальная гипертензия,кровотечения любой локализации; некроз кожи; алопеция; тошнота; гепатотоксичность,Синкумар; Аценокумарол,Аспирин,HIGH,Повышается риск кровотечения — совместный приём требует мониторинга МНО,синкумар; кумадин
Сертралин,Сертралин,N06AB06,СИОЗС,N597870,Pfizer,таблетки,50–200 мг 1 раз в сутки утром или вечером,"с 6 лет: 25–50 мг/сутки, далее по схеме",Не выше 25 C,3 года,prescription,депрессия;ОКР,одновременный приём с ингибиторами МАО; одновременный приём с пимозидом; нестабильная эпилепсия,тошнота; диарея; сухость во рту; бессонница; повышенная потливость; сексуальная дисфункция; серотониновый синдром (при взаимодействиях),Золофт; Серлифт; Стимулотон,Ингибиторы МАО,HIGH,Серотониновый синдром — жизнеугрожающее состояние,золофт; серлифт; стимулотон; асентра
Ибупрофен,Ибупрофен,M01AE01,НПВС,N673881,Abbott,таблетки,"200–400 мг 3–4 раза в сутки после еды, не более 1200 мг/сутки",с 6 лет: 7–10 мг/кг 3–4 раза в сутки,Не выше 25 C,3 года,prescription,боль;воспаление,язвенная болезнь в фазе обострения; желудочно-кишечное кровотечение; тяжёлая почечная/печёночная/сердечная недостаточность; аспириновая астма; беременность III триместр,диспепсия; тошнота; язвы ЖКТ; повышение АД; задержка жидкости; бронхоспазм; почечная недостаточность,Нурофен; Долгит; МИГ 400,Варфарин,HIGH,Повышается риск кровотечения,нурофен; долгит; миг; бруфен
Левотироксин,Левотироксин натрия,H03AA01,Щитовидная железа,N574486,Berlin-Chemie,таблетки,25–200 мкг 1 раз в сутки натощак за 30 мин до еды,доза по весу и ТТГ под контролем эндокринолога,Не выше 25 C,3 года,prescription,гипотиреоз,тиреотоксикоз; инфаркт миокарда (острый период); нелеченная надпочечниковая недостаточность; нелеченный гипопитуитаризм,тахикардия; аритмия; тремор; бессонница; снижение массы тела; приливы при передозировке,Эутирокс; L-тироксин Берлин; Тироксин,Карбамазепин,MEDIUM,"Ускоряет метаболизм левотироксина, снижая его эффект",эутирокс; l-тироксин; тироксин
