"drug_id","trade_name","substance","atc","group","slug","manufacturer","form","registration_number","dosage_adult","dosage_children","storage_conditions","shelf_life","dispensing_rule","indications","contraindications","side_effects"
1,"Аспирин","Ацетилсалициловая кислота","N02BA01","НПВС","аспирин","Bayer","таблетки","N665861","75–500 мг 1–3 раза в сутки после еды; кардиопрофилактика — 75–100 мг 1 раз в сутки","детям до 15 лет не применять (риск синдрома Рея)","Не выше 25 C","3 года","prescription","боль;жар;тромбоз","язвенная болезнь желудка и двенадцатиперстной кишки; желудочно-кишечные кровотечения; геморрагические диатезы; бронхиальная астма (аспириновая); детский возраст до 15 лет (синдром Рея)","диспепсия; тошнота; рвота; желудочно-кишечное кровотечение; бронхоспазм; крапивница; шум в ушах при длительном приёме высоких доз"
2,"Метформин","Метформина гидрохлорид","A10BA02","Гипогликемические","метформин","Тева","таблетки","N452277","500–1000 мг 2–3 раза в сутки с едой, суточная доза до 3000 мг","с 10 лет: 500–850 мг/сутки по схеме врача","Не выше 25 C","3 года","prescription","диабет 2 типа;гипергликемия","почечная недостаточность (СКФ < 45 мл/мин); печёночная недостаточность; сердечная недостаточность; алкоголизм; беременность; лактоацидоз в анамнезе","диарея; тошнота; рвота; металлический привкус во рту; дефицит витамина B12 при длительном приёме; лактоацидоз (редко)"
3,"Амоксициллин","Амоксициллин","J01CA04","Антибиотики","амоксициллин","Sandoz","капсулы","N319739","500 мг 3 раза в сутки или 875 мг 2 раза в сутки 5–7 дней","20–40 мг/кг/сутки в 3 приёма (макс. 3 г/сутки)","Не выше 25 C","3 года","prescription","инфекции;ангина;синусит","гиперчувствительность к пенициллинам и цефалоспоринам; инфекционный мононуклеоз; лимфолейкоз","диарея; тошнота; сыпь; крапивница; анафилаксия (редко); псевдомембранозный колит"
4,"Омепразол","Омепразол","A02BC01","ИПП","омепразол","AstraZeneca","капсулы","N150299","20–40 мг 1 раз в сутки утром натощак","с 2 лет: 10–20 мг 1 раз в сутки","Не выше 25 C","3 года","prescription","ГЭРБ;язва","гиперчувствительность к бензимидазолам; тяжёлая печёночная недостаточность; одновременный приём с атазанавиром или нелфинавиром","головная боль; диарея; тошнота; запор; метеоризм; дефицит магния при длительном приёме; гипергастринемия"
5,"Лизиноприл","Лизиноприл","C09AA03","Ингибиторы АПФ","лизиноприл","KRKA","таблетки","N882463","5–40 мг 1 раз в сутки в одно и то же время","с 6 лет: 0,07 мг/кг 1 раз в сутки (макс. 40 мг)","Не выше 25 C","3 года","prescription","гипертензия;ХСН","ангионевротический отёк в анамнезе; беременность; двусторонний стеноз почечных артерий; гиперкалиемия; тяжёлая почечная недостаточность","сухой кашель; гипотония первой дозы; головокружение; гиперкалиемия; нарушение функции почек; ангионевротический отёк"
6,"Аторвастатин","Аторвастатин","C10AA05","Статины","аторвастатин","Pfizer","таблетки","N457563","10–80 мг 1 раз в сутки вечером","с 10 лет: 10–20 мг 1 раз в сутки","Не выше 25 C","3 года","prescription","гиперхолестеринемия","активные заболевания печени; повышение АСТ/АЛТ более чем в 3 раза; беременность; лактация; миопатия","миалгия; рабдомиолиз (редко); повышение трансаминаз; головная боль; диспепсия; гипергликемия"
7,"Варфарин","Варфарин","B01AA03","Антикоагулянты","варфарин","Никомед","таблетки","N762818","индивидуально под контролем МНО (обычно 2,5–5 мг/сутки)","применение у детей по решению врача","Не выше 25 C","3 года","prescription","тромбоз;фибрилляция","геморрагический инсульт; активное кровотечение; беременность 1 триместр; тяжёлая печёночная недостаточность; неконтролируемая артериальная гипертензия","кровотечения любой локализации; некроз кожи; алопеция; тошнота; гепатотоксичность"
8,"Сертралин","Сертралин","N06AB06","СИОЗС","сертралин","Pfizer","таблетки","N597870","50–200 мг 1 раз в сутки утром или вечером","с 6 лет: 25–50 мг/сутки, далее по схеме","Не выше 25 C","3 года","prescription","депрессия;ОКР","одновременный приём с ингибиторами МАО; одновременный приём с пимозидом; нестабильная эпилепсия","тошнота; диарея; сухость во рту; бессонница; повышенная потливость; сексуальная дисфункция; серотониновый синдром (при взаимодействиях)"
9,"Ибупрофен","Ибупрофен","M01AE01","НПВС","ибупрофен","Abbott","таблетки","N673881","200–400 мг 3–4 раза в сутки после еды, не более 1200 мг/сутки","с 6 лет: 7–10 мг/кг 3–4 раза в сутки","Не выше 25 C","3 года","prescription","боль;воспаление","язвенная болезнь в фазе обострения; желудочно-кишечное кровотечение; тяжёлая почечная/печёночная/сердечная недостаточность; аспириновая астма; беременность III триместр","диспепсия; тошнота; язвы ЖКТ; повышение АД; задержка жидкости; бронхоспазм; почечная недостаточность"
10,"Левотироксин","Левотироксин натрия","H03AA01","Щитовидная железа","левотироксин","Berlin-Chemie","таблетки","N574486","25–200 мкг 1 раз в сутки натощак за 30 мин до еды","доза по весу и ТТГ под контролем эндокринолога","Не выше 25 C","3 года","prescription","гипотиреоз","тиреотоксикоз; инфаркт миокарда (острый период); нелеченная надпочечниковая недостаточность; нелеченный гипопитуитаризм","тахикардия; аритмия; тремор; бессонница; снижение массы тела; приливы при передозировке"
11,"Парацетамол","Парацетамол","N02BE01","Анальгетики","парацетамол","Фармстандарт","таблетки","N964936","500–1000 мг до 4 раз в сутки, не более 4 г/сутки","10–15 мг/кг 4 раза в сутки","Не выше 25 C","3 года","prescription","боль;жар","тяжёлая печёночная недостаточность","гепатотоксичность"
12,"Амлодипин","Амлодипин","C08CA01","Блокаторы кальциевых каналов","амлодипин","Pfizer","таблетки","N514795","5–10 мг 1 раз в сутки","с 6 лет: 2,5–5 мг 1 раз в сутки","Не выше 25 C","3 года","prescription","гипертензия;стенокардия","шок;коллапс","отёки;головокружение"
13,"Бисопролол","Бисопролол","C07AB07","Бета-блокаторы","бисопролол","Merck","таблетки","N325671","2,5–10 мг 1 раз в сутки","с 18 лет (детская схема по показаниям)","Не выше 25 C","3 года","prescription","гипертензия;ИБС","бронхиальная астма","брадикардия"
14,"Рамиприл","Рамиприл","C09AA05","Ингибиторы АПФ","рамиприл","Sanofi","капсулы","N730690","2,5–10 мг 1 раз в сутки","с 18 лет","Не выше 25 C","3 года","prescription","гипертензия","беременность","кашель"
15,"Кларитромицин","Кларитромицин","J01FA09","Макролиды","кларитромицин","Abbott","таблетки","N986508","250–500 мг 2 раза в сутки 7–14 дней","7,5 мг/кг 2 раза в сутки","Не выше 25 C","3 года","prescription","инфекции дыхательных путей","печёночная недостаточность","диспепсия"
16,"Цефтриаксон","Цефтриаксон","J01DD04","Цефалоспорины","цефтриаксон","Roche","порошок","N287117","1–2 г 1 раз в сутки в/м или в/в","50–75 мг/кг 1 раз в сутки (макс. 2 г)","Не выше 25 C","3 года","prescription","сепсис;менингит","новорождённые с гипербилирубинемией","диарея"
17,"Диклофенак","Диклофенак","M01AB05","НПВС","диклофенак","Novartis","таблетки","N771602","50 мг 2–3 раза в сутки или 75 мг 2 раза в сутки","с 6 лет: 1–3 мг/кг/сутки в 2–3 приёма","Не выше 25 C","3 года","prescription","артрит;боль","язва;беременность 3 триместр","гастропатия"
18,"Напроксен","Напроксен","M01AE02","НПВС","напроксен","Roche","таблетки","N604333","250–500 мг 2 раза в сутки","с 2 лет: 5–7 мг/кг 2 раза в сутки","Не выше 25 C","3 года","prescription","боль;ревматизм","язва ЖКТ","тошнота"
19,"Азитромицин","Азитромицин","J01FA10","Макролиды","азитромицин","Pfizer","капсулы","N188311","500 мг 1 раз в сутки 3 дня или 500 мг в 1-й день, затем 250 мг 4 дня","10 мг/кг 1 раз в сутки 3 дня","Не выше 25 C","3 года","prescription","инфекции","холестаз","диарея"
20,"Фуросемид","Фуросемид","C03CA01","Диуретики","фуросемид","Sanofi","таблетки","N688319","20–80 мг 1–2 раза в сутки","1–2 мг/кг 1–2 раза в сутки","Не выше 25 C","3 года","prescription","отёки;ХСН","анурия","гипокалиемия"
21,"Спиронолактон","Спиронолактон","C03DA01","Диуретики","спиронолактон","Pfizer","таблетки","N596634","25–100 мг 1 раз в сутки","1–3 мг/кг/сутки","Не выше 25 C","3 года","prescription","ХСН;гипертензия","гиперкалиемия","гинекомастия"
22,"Преднизолон","Преднизолон","H02AB06","ГКС","преднизолон","Vertex","таблетки","N409149","5–60 мг/сутки в 1–2 приёма по схеме","0,5–2 мг/кг/сутки","Не выше 25 C","3 года","prescription","воспаление;аллергия","системные грибковые инфекции","остеопороз"
23,"Дексаметазон","Дексаметазон","H02AB02","ГКС","дексаметазон","Merck","ампулы","N644326","0,5–10 мг/сутки в 1–4 приёма","0,1–0,5 мг/кг/сутки","Не выше 25 C","3 года","prescription","отёк мозга;COVID-19","системные инфекции без терапии","гипергликемия"
24,"Симвастатин","Симвастатин","C10AA01","Статины","симвастатин","Merck","таблетки","N646270","10–40 мг 1 раз в сутки вечером","с 10 лет: 10–40 мг вечером","Не выше 25 C","3 года","prescription","дислипидемия","активное заболевание печени","миалгия"
25,"Розувастатин","Розувастатин","C10AA07","Статины","розувастатин","AstraZeneca","таблетки","N162487","5–20 мг 1 раз в сутки","с 10 лет: 5–10 мг 1 раз в сутки","Не выше 25 C","3 года","prescription","гиперхолестеринемия","миопатия","головная боль"
26,"Клоназепам","Клоназепам","N03AE01","Противосудорожные","клоназепам","Roche","таблетки","N796238","0,5–2 мг 2–3 раза в сутки","с 18 лет (эпилепсия у детей — по схеме)","Не выше 25 C","3 года","prescription","эпилепсия;тревога","миастения","сонливость"
27,"Диазепам","Диазепам","N05BA01","Транквилизаторы","диазепам","Roche","таблетки","N715385","2–10 мг 2–4 раза в сутки","у детей строго по схеме врача","Не выше 25 C","3 года","prescription","тревога;судороги","миастения","сонливость"
28,"Трамадол","Трамадол","N02AX02","Опиоиды","трамадол","Grünenthal","капсулы","N508908","50–100 мг каждые 4–6 ч, не более 400 мг/сутки","с 12 лет: 1–2 мг/кг","Не выше 25 C","3 года","prescription","боль средней и сильной интенсивности","одновременный приём ИМАО","тошнота;головокружение"
29,"Кеторолак","Кеторолак","M01AB15","НПВС","кеторолак","Roche","раствор","N397822","10 мг 4–6 раз в сутки, курс не более 5 дней","с 16 лет","Не выше 25 C","3 года","prescription","острая боль","язва;кровотечения","тошнота"
30,"Нитроглицерин","Нитроглицерин","C01DA02","Нитраты","нитроглицерин","Pfizer","спрей","N898970","0,4–0,8 мг сублингвально при приступе, повтор через 5 мин","не рекомендуется детям","Не выше 25 C","3 года","prescription","стенокардия","гипотензия;ШОК","головная боль"
31,"Каптоприл","Каптоприл","C09AA01","Ингибиторы АПФ","каптоприл","Bristol","таблетки","N448036","12,5–50 мг 2–3 раза в сутки","0,3–0,5 мг/кг 3 раза в сутки","Не выше 25 C","3 года","prescription","гипертензия","беременность","кашель"
32,"Эналаприл","Эналаприл","C09AA02","Ингибиторы АПФ","эналаприл","Merck","таблетки","N894811","5–20 мг 1–2 раза в сутки","0,08–0,6 мг/кг в 2 приёма","Не выше 25 C","3 года","prescription","ХСН;гипертензия","беременность","кашель"
33,"Сальбутамол","Сальбутамол","R03AC02","Бронхолитики","сальбутамол","GSK","ингалятор","N845829","100–200 мкг ингаляционно при необходимости, до 8 раз/сутки","100 мкг ингаляционно при бронхоспазме","Не выше 25 C","3 года","prescription","астма;БА","аритмия","тремор"
34,"Инсулин гларгин","Инсулин гларгин","A10AE04","Инсулины","инсулин-гларгин","Sanofi","раствор","N934189","подкожно 1 раз в сутки, доза подбором (обычно 0,2–1 ЕД/кг)","доза индивидуально по гликемии","Не выше 25 C","3 года","prescription","диабет 1 и 2 типа","гипогликемия","гипогликемия"
35,"Глибенкламид","Глибенкламид","A10BB01","Сульфонилмочевина","глибенкламид","Sanofi","таблетки","N301386","2,5–15 мг/сутки в 1–2 приёма","с 12 лет по схеме","Не выше 25 C","3 года","prescription","диабет 2 типа","кетоацидоз","гипогликемия"
36,"Ранитидин","Ранитидин","A02BA02","Блокаторы H2","ранитидин","GSK","таблетки","N938973","150 мг 2 раза в сутки или 300 мг на ночь","2–4 мг/кг 2 раза в сутки","Не выше 25 C","3 года","prescription","язва;изжога","беременность с осторожностью","головная боль"
37,"Фамотидин","Фамотидин","A02BA03","Блокаторы H2","фамотидин","Merck","таблетки","N406432","20–40 мг 1–2 раза в сутки","0,5 мг/кг 2 раза в сутки","Не выше 25 C","3 года","prescription","ГЭРБ;язва","гиперчувствительность","головная боль"
38,"Ацикловир","Ацикловир","J05AB01","Противовирусные","ацикловир","GSK","таблетки","N555027","200–800 мг 5 раз в сутки по показаниям","20 мг/кг 4 раза в сутки","Не выше 25 C","3 года","prescription","герпес;ветрянка","беременность с осторожностью","тошнота"
39,"Омепразол+Амоксициллин","Омепразол и амоксициллин","A02BD01","Эрадикация H.pylori","омепразол+амоксициллин","комбинат","капсулы","N125775","омепразол 20 мг 2 р/сут + амоксициллин 1000 мг 2 р/сут 7–14 дней (эрадикация H. pylori)","схема для детей по весу — по протоколу","Не выше 25 C","3 года","prescription","язва Helicobacter","аллергия на пенициллин","диарея"
40,"Клопидогрел","Клопидогрел","B01AC04","Антиагреганты","клопидогрел","Sanofi","таблетки","N639942","75 мг 1 раз в сутки","с 18 лет","Не выше 25 C","3 года","prescription","тромбоз;стент","кровотечение","кровотечение"
